"airport","arr_flights","arr_cancelled","arr_delayed","arr_delay_time","longitude_deg","latitude_deg","region_name","USAFID","lat","lon","temp","elev","wind.sp","vis.dist","rh","d"
"PIA",17339,559,3195,222237,-89.693298,40.6642,"Illinois",725320,40.664,-89.693,22.8557167235495,201.996587030717,2.56958762886598,14574.954778157,72.6966579535989,0.0335611046216668
"PIB",2983,93,548,53296,-89.337097,31.4671,"Mississippi",722348,31.467,-89.337,25.8617699115044,91,1.33796460176991,12630.5734513274,87.60917971238,0.0144318498872266
"PIE",37202,1422,8864,676514,-82.687401,27.9102,"Florida",722116,27.911,-82.688,27.9792207792208,3,3.202407221665,14883.2194388778,82.5652415718268,0.106665070384524
"PIH",4011,19,334,26722,-112.596000671387,42.9098014831543,"Idaho",725780,42.917,-112.6,21.8628603104213,1365,4.14476614699332,16074.8636363636,36.6248623440052,0.864163713863316
"PIR",1865,62,283,28968,-100.2860031,44.38270187,"SouthDakota",726560,44.381,-100.286,20.5578528827038,526.019880715706,4.57337337337337,14648.4910536779,78.775668694209,0.189239470167005
"PIT",195190,4996,33798,2117911,-80.23290253,40.49150085,"Pennsylvania",725200,40.485,-80.217,21.934128440367,365.187155963303,2.57376146788991,14903.104587156,72.4119063748013,1.52680753965107
"PLN",4137,90,551,60836,-84.79669952,45.57089996,"Michigan",722145,45.426,-84.913,19.777245508982,209,2.0797816132441,15898.0045790771,70.1604922619075,18.4868782178904
"PNS",54658,1229,9756,600391,-87.1866,30.4734,"Florida",722223,30.473,-87.187,27.8894093686354,36.0010183299389,2.8745641025641,14940.9928644241,85.117873070975,0.0587178925375101
"PRC",3197,37,497,42248,-112.419998,34.654499,"Arizona",723723,34.652,-112.42,25.7013801756587,1539.99498117942,3.23498098859316,16088.9623588457,36.7121772861404,0.277876181903956
"PSC",20163,349,2835,185167,-119.119003295898,46.2647018432617,"Washington",720388,47.1,-122.287,19.3532584269663,164,0.558633093525179,15522.5784936479,74.8289880780722,258.878942174232
"PSG",3681,56,578,31876,-132.9450073,56.80170059,"Alaska",720272,48.467,-122.421,18.7337224966322,44,1.88197752808989,14266.2198100407,74.4413045794844,1164.87694653611
"PSM",1723,52,274,18204,-70.8233032227,43.0778999329,"NewHampshire",726055,43.078,-70.823,20.8899786780384,30.0405117270789,2.54243070362473,13118.2611940299,77.0927351909267,0.027024594286338
"PSP",58996,1202,9587,554832,-116.507004,33.8297,"California",722868,33.822,-116.507,35.6263504611331,137.03162055336,2.7551724137931,16093,22.4126346497374,0.856201014890474
"PUB",3721,94,524,54963,-104.497002,38.289101,"Colorado",724640,38.283,-104.5,25.1892177589852,1439.00528541226,3.66442307692308,15874.1479915433,48.673829374314,0.727114560159802
